-96.6617000,39.1491000,-96.5271000,39.2225000
9315776633,9315776632,0.044
9315776633,9315776665,0.006
9315776633,9315776631,0.012
9315776665,9315776634,0.005
9315776665,9315776633,0.006
9315776634,9315776635,0.042
9315776634,9315776666,0.003
9315776634,9315776665,0.005
9315776666,121759647,0.006
9315776666,9315776634,0.003
9315776650,9315776649,0.042
9315776650,9315776648,0.012
9315776650,121759647,0.009
9315776648,9315776647,0.048
9315776648,9315776646,0.011
9315776648,9315776650,0.012
9315776646,9315776675,0.054
9315776646,121784492,0.011
9315776646,9315776648,0.011
121784492,9315776662,0.032
121784492,9315776664,0.008
121784492,9315776646,0.011
9315776664,9315776644,0.004
9315776664,121784492,0.008
9315776644,9315776643,0.011
9315776644,9315776664,0.004
9315776643,9315776642,0.034
9315776643,9315776641,0.010
9315776643,9315776644,0.011
9315776641,9315776640,0.011
9315776641,9315776643,0.010
9315776640,9315776639,0.056
9315776640,9315776636,0.010
9315776640,9315776641,0.011
9315776636,121784495,0.012
9315776636,9315776640,0.010
121784495,5890239348,0.052
121784495,9315776636,0.012
5890239348,5890239347,0.024
5890239348,8597797839,0.005
5890239348,121784495,0.052
8597797839,9315776637,0.013
8597797839,121744349,0.012
8597797839,5890239348,0.005
121785024,121785027,0.008
121785024,121785021,0.008
121785021,121785024,0.008
121785027,121785031,0.019
121785027,121785024,0.008
121785031,121785034,0.015
121785031,121785027,0.019
121785034,121785037,0.009
121785034,121785031,0.015
121785037,121785040,0.016
121785037,121785034,0.009
121785040,121785043,0.013
121785040,121785037,0.016
121785043,121785046,0.009
121785043,121785040,0.013
121785046,121785048,0.007
121785046,121785043,0.009
121785048,121785052,0.005
121785048,121785046,0.007
121785052,121785055,0.010
121785052,121785048,0.005
121785055,121760359,0.007
121785055,121785052,0.010
121785070,1798859838,0.011
121785070,121785072,0.049
121785070,121785068,0.015
121785068,121885516,0.014
121785068,121885510,0.007
121785068,121785070,0.015
121785072,121785070,0.049
121785082,121785171,0.018
121785082,10296136782,0.027
121785082,121785079,0.012
121785079,121885561,0.015
121785079,121885558,0.005
121785079,121785082,0.012
10296136782,10296136783,0.012
10296136782,121785085,0.012
10296136782,121785082,0.027
121785085,121785090,0.043
121785085,10296136782,0.012
121785090,121785092,0.080
121785090,121785085,0.043
121785092,121876159,0.034
121785092,121785095,0.043
121785092,121785090,0.080
121785095,121785104,0.037
121785095,121785092,0.043
121785104,121876159,0.030
121785104,121785108,0.037
121785104,121785095,0.037
121785108,121785167,0.017
121785108,121785111,0.014
121785108,121785104,0.037
121785111,121885549,0.013
121785111,121864725,0.011
121785111,121785108,0.014
121785167,1798852114,0.009
121785167,121785108,0.017
1798852114,121785168,0.008
1798852114,121785167,0.009
121785168,1798852137,0.007
121785168,1798852114,0.008
1798852137,121785169,0.007
1798852137,121785168,0.007
121785169,9947859870,0.002
121785169,1798852137,0.007
9947859870,1798852140,0.004
9947859870,121785169,0.002
1798852140,121785171,0.008
1798852140,9947859870,0.004
121785171,121785082,0.018
121785171,1798852140,0.008
121788533,121788537,0.014
121788533,121760331,0.007
121788537,121788540,0.011
121788537,121788533,0.014
121788540,10780887511,0.007
121788540,121788537,0.011
10780887511,121788544,0.009
10780887511,121788540,0.007
121788544,121788547,0.007
121788544,10780887511,0.009
121788547,121788550,0.008
121788547,121788544,0.007
121788550,121788553,0.007
121788550,121788547,0.008
121788553,121788558,0.005
121788553,121788550,0.007
121788558,121788553,0.005
121788624,9631560380,0.006
121788624,121788620,0.015
121788620,121779892,0.063
121788620,121788624,0.015
9631560380,9631560379,0.024
9631560380,121788629,0.015
9631560380,121788624,0.006
121788629,9631560371,0.003
121788629,9631560380,0.015
9631560371,9631560372,0.010
9631560371,121788632,0.023
9631560371,121788629,0.003
121788632,9631560371,0.023
9851777054,9851777055,0.005
9851777054,9851777053,0.011
9851777053,9851777054,0.011
9851777055,121888826,0.016
9851777055,9851777054,0.005
121888826,10085869398,0.004
121888826,9851777055,0.016
10085869398,10085869399,0.029
10085869398,2018699659,0.009
10085869398,121888826,0.004
2018699659,9851777066,0.029
2018699659,10085869398,0.009
9851777066,9851777065,0.007
9851777066,9851777070,0.006
9851777066,2018699659,0.029
9851777070,9851777069,0.007
9851777070,9851777062,0.006
9851777070,9851777066,0.006
9851777062,9851777061,0.037
9851777062,2018699658,0.012
9851777062,9851777070,0.006
2018699658,9851777073,0.003
2018699658,9851777062,0.012
9851777073,9851777072,0.032
9851777073,6273027263,0.022
9851777073,2018699658,0.003
6273027263,6273027272,0.009
6273027263,6273027262,0.016
6273027263,6266772385,0.014
6273027263,9851777073,0.022
6266772385,6266772386,0.011
6266772385,121888825,0.003
6266772385,6273027263,0.014
121888825,6273027276,0.012
121888825,6266772385,0.003
6273027276,6273027275,0.011
6273027276,1676524087,0.009
6273027276,121888825,0.012
1676524087,1676524093,0.016
1676524087,9335536293,0.008
1676524087,6273027276,0.009
9335536293,2018699623,0.004
9335536293,1676524087,0.008
2018699623,6266772387,0.018
2018699623,121780501,0.032
2018699623,9335536293,0.004
121780501,2018699542,0.015
121780501,2018699623,0.032
2102123935,2102123826,0.063
2102123935,2102123938,0.005
2102123935,121793777,0.020
121793777,121938284,0.048
121793777,121863921,0.027
121793777,2102123935,0.020
2102123938,2102123604,0.005
2102123938,2102123935,0.005
2102123604,2102123732,0.007
2102123604,2102123938,0.005
2102123732,121863920,0.013
2102123732,2102123604,0.007
121863920,121863921,0.030
121863920,10695109269,0.020
121863920,2102123732,0.013
4194579556,4194579560,0.143
4194579556,121794760,0.008
4194579556,121794758,0.035
121794758,9135481119,0.004
121794758,4194579559,0.008
121794758,121885566,0.013
121794758,4194579556,0.035
121794760,121794762,0.047
121794760,4194579556,0.008
121794762,121794764,0.085
121794762,121794760,0.047
121794764,121794766,0.032
121794764,121794762,0.085
121794766,121794770,0.035
121794766,121794764,0.032
121794770,1798859860,0.008
121794770,121794766,0.035
1798859860,121794772,0.011
1798859860,121794770,0.008
121794772,4194579560,0.004
121794772,1798859860,0.011
4194579560,4194579556,0.143
4194579560,121794775,0.015
4194579560,121794772,0.004
121794775,1798859971,0.015
121794775,121885562,0.019
121794775,121885561,0.011
121794775,4194579560,0.015
9135481123,121794816,0.022
9135481123,121794812,0.005
121794812,121885563,0.030
121794812,121760368,0.026
121794812,9135481123,0.005
121794816,121794822,0.038
121794816,9135481123,0.022
121794822,10296136788,0.007
121794822,121794816,0.038
10296136788,121794828,0.008
10296136788,121794822,0.007
121794828,10296136792,0.006
121794828,10296136788,0.008
10296136792,10296136789,0.005
10296136792,121794828,0.006
10296136789,10296136790,0.008
10296136789,10296136792,0.005
10296136790,10296136791,0.006
10296136790,10296136789,0.008
10296136791,10603243704,0.004
10296136791,10296136790,0.006
10603243704,121760362,0.008
10603243704,10296136791,0.004
121796370,5540600347,0.044
121796370,9484708267,0.019
9484708267,121796366,0.016
9484708267,121796370,0.019
5540600347,9484708268,0.019
5540600347,5540600349,0.040
5540600347,121796370,0.044
5540600349,9484708269,0.019
5540600349,5540600350,0.015
5540600349,5540600347,0.040
5540600350,9484708270,0.019
5540600350,121796374,0.039
5540600350,5540600349,0.015
121796374,9484708266,0.019
121796374,5540600350,0.039
9484708266,121796376,0.015
9484708266,121796374,0.019
5750957648,5750957649,0.040
5750957648,5750957647,0.013
5750957648,121796446,0.042
121796446,121796366,0.024
121796446,5540600346,0.020
